"","Facility.ID","FACILITY.NAME","ADDRESS","CITY","STATE","ZIP.CODE","AREA.CODE","PHONE","fullAddress.x","lon.x","lat.x","DeptID","Department.Name","Record.Status","Abbreviation","Synonyms","Center","External.Name","Inpatient.Dept","Specialty","Confidential.","Addr","Suite","City","State","Zip.Code","Zip.Add.On","County","Country","MPI.ID.Type","MPI.ID","Appt.Phone","ADT.Parent","Patient.Class","ADT.Unit.Type","EpicCare.Department","Logo.Filename","fullAddress.y","lon.y","lat.y"
"1",10098,"SLHS ELMORE TRINITY MOUNTAIN MEDICAL CLINIC","465 MCKENNA DRIVE","MOUNTAIN HOME","Idaho","83647","208","208-587-9703","465 MCKENNA DRIVE, MOUNTAIN HOME, Idaho, 83647",-115.694649,43.13899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",10099,"MERIDIAN SURGICAL CENTER",NA,NA,NA,NA,"208","208-706-8101","NA, NA, NA, NA",18.49041,-22.95764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",10100,"SLHS BOISE MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2222","190 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1924344,43.6125798,"104","BMC ANTICOAGULATION CLINIC","","BMC ACC","ACC
COUMADIN CLINIC","","BMC Anticoagulation Clinic","","Anticoagulation","","190 E. BANNOCK ST.",NA,"BOISE","IDAHO","83712",NA,"","United States of America","110","10100104","",10100,"","","Yes","","190 E. BANNOCK ST., BOISE, IDAHO, 83712",-116.1924344,43.6125798
"4",10100,"SLHS BOISE MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2222","190 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1924344,43.6125798,"220","BMC SL IDAHO CARDIOLOGY ASSOCIATES","","BMC SLICA","SLICA
SLICA BOISE
BOISE HOSPITAL","BMC","St. Luke's Clinic - Idaho Cardiology Associates - Boise","","Cardiology","","190 E BANNOCK",NA,"BOISE","IDAHO","83712","6241","ADA","United States of America","110","10100220","",10100,"Clinic Outpatient
Specimen","","Yes","","190 E BANNOCK, BOISE, IDAHO, 83712",-116.1924344,43.6125798
"5",10100,"SLHS BOISE MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2222","190 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1924344,43.6125798,"221","BMC SLC CARDIOTHORACIC ASSOCIATES","","BMC CTS","CVA
CARDIOTHORACIC
BOISE HOSPITAL
CT","BMC","St. Luke's Clinic - Cardiothoracic Associates - Boise","","Cardiothoracic Surgery","","190 E BANNOCK",NA,"BOISE","IDAHO","83712","6241","ADA","United States of America","110","10100221","",10100,"Clinic Outpatient
Specimen","","Yes","","190 E BANNOCK, BOISE, IDAHO, 83712",-116.1924344,43.6125798
"6",10100,"SLHS BOISE MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2222","190 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1924344,43.6125798,"223","BMC SLC NEUROINTERVENTION","","BMC SLCNI","NEURO
INTER
NEUROIN
RADIOLOGY","BMC","St. Luke's Clinic - Neurointervention - Boise","","Radiology","","190 E BANNOCK",NA,"BOISE","IDAHO","83712","6241","","","110","10100223","",10100,"Clinic Outpatient
Specimen","","Yes","","190 E BANNOCK, BOISE, IDAHO, 83712",-116.1924344,43.6125798
"7",10100,"SLHS BOISE MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2222","190 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1924344,43.6125798,"218","BMC SLC NORTHWEST NEUROSURGERY ASSOCIATES","","BMC SLNNA","NORTHWEST NEUROSURGERY
NEURO
NEUROSCIENCE","BMC"," St. Luke's Northwest Neurosurgery Associates-Boise","","Neurosurgery","","190 E BANNOCK",NA,"BOISE","IDAHO","83712","6241","ADA","United States of America","110","10100218","",10100,"Clinic Outpatient
Specimen","","Yes","","190 E BANNOCK, BOISE, IDAHO, 83712",-116.1924344,43.6125798
"8",10100,"SLHS BOISE MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2222","190 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1924344,43.6125798,"222","BMC SLC VASCULAR ASSOCIATES","","BMC VASC","CVA
VASCULAR
BOISE HOSPITAL","BMC","St. Luke's Clinic - Vascular Associates - Boise","","Vascular Surgery","","190 E BANNOCK",NA,"BOISE","IDAHO","83712","6241","ADA","United States of America","110","10100222","",10100,"Clinic Outpatient
Specimen","","Yes","","190 E BANNOCK, BOISE, IDAHO, 83712",-116.1924344,43.6125798
"9",10101,"SLHS ST LUKES EAGLE MEDICAL CENTER","3101 EAST STATE STREET","EAGLE","Idaho","83616","208","473-3000","3101 EAST STATE STREET, EAGLE, Idaho, 83616",-116.3163704,43.6818299,"185","ANTICOAGULATION CLINIC - EAGLE","","EMC ACC","EMC
ANTICOAG
EAGLE
INR
ACC
COUMADIN
WARFARIN","EMC","ANTICOAGULATION CLINIC - EAGLE","","Anticoagulation","","3101 E. STATE ST. "," 2120","EAGLE","IDAHO","83616","6232","ADA","United States of America","110","10101185","",10101,"Therapies Series","","Yes","","3101 E. STATE ST. , EAGLE, IDAHO, 83616",-116.3163704,43.6818299
"10",10101,"SLHS ST LUKES EAGLE MEDICAL CENTER","3101 EAST STATE STREET","EAGLE","Idaho","83616","208","473-3000","3101 EAST STATE STREET, EAGLE, Idaho, 83616",-116.3163704,43.6818299,"183","EMC SL IDAHO CARDIOLOGY ASSOCIATES","","EMC SLICA","SLICA
EAGLE SLICA","EMC","St. Luke's Idaho Cardiology Associates - Eagle","","Cardiology","","3101 E STATE ST. "," 2120","EAGLE","IDAHO","83616","6232","ADA","United States of America","110","10101183","",10101,"Clinic Outpatient
Specimen","","Yes","","3101 E STATE ST. , EAGLE, IDAHO, 83616",-116.3163704,43.6818299
