"","Facility.ID","FACILITY.NAME","ADDRESS","CITY","STATE","ZIP.CODE","AREA.CODE","PHONE","fullAddress","lon","lat"
"1",10098,"SLHS ELMORE TRINITY MOUNTAIN MEDICAL CLINIC","465 MCKENNA DRIVE","MOUNTAIN HOME","Idaho","83647","208","208-587-9703","465 MCKENNA DRIVE, MOUNTAIN HOME, Idaho, 83647",-115.694649,43.13899
"2",10099,"MERIDIAN SURGICAL CENTER",NA,NA,NA,NA,"208","208-706-8101","NA, NA, NA, NA",18.49041,-22.95764
"3",10100,"SLHS BOISE MEDICAL CENTER","190 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2222","190 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1924344,43.6125798
"4",10101,"SLHS ST LUKES EAGLE MEDICAL CENTER","3101 EAST STATE STREET","EAGLE","Idaho","83616","208","473-3000","3101 EAST STATE STREET, EAGLE, Idaho, 83616",-116.3163704,43.6818299
"5",10102,"SLHS MERIDIAN MEDICAL CENTER","520 SOUTH EAGLE ROAD","MERIDIAN","Idaho","83642","208","706-5000","520 SOUTH EAGLE ROAD, MERIDIAN, Idaho, 83642",-116.3524898,43.5993675
"6",10103,"SLHS ANDERSON CENTER SOUTH TOWER","100 EAST IDAHO STREET","BOISE","Idaho","83712","208","381-7312","100 EAST IDAHO STREET, BOISE, Idaho, 83712",-116.1935105,43.6120865
"7",10104,"SLHS BI COPPLE","100 EAST WARM SPRINGS AVENUE SUITE B","BOISE","Idaho","83702","208","381-6930","100 EAST WARM SPRINGS AVENUE SUITE B, BOISE, Idaho, 83702",-116.195161,43.6114285
"8",10105,"SLHS CENTER FOR BREAST IMAGING","100 EAST BANNOCK STREET","BOISE","Idaho","83712","208","381-2983","100 EAST BANNOCK STREET, BOISE, Idaho, 83712",-116.1926346,43.6123886
"9",10106,"SLHS PIONEER PLAZA","109 WEST MYRTLE STREET SUITE 200","BOISE","Idaho","83702","208","383-0201","109 WEST MYRTLE STREET SUITE 200, BOISE, Idaho, 83702",-116.1982878,43.6084147
"10",10107,"SLHS BOISE HUMPHREYS DIABETES CENTER","1226 WEST RIVER STREET","BOISE","Idaho","83702","208","331-1155","1226 WEST RIVER STREET, BOISE, Idaho, 83702",-116.2139743,43.6144581
"11",10108,"SLHS IDAHO PROFESSIONAL BUILDING","125 EAST IDAHO STREET","BOISE","Idaho","83702","208","381-7300","125 EAST IDAHO STREET, BOISE, Idaho, 83702",-116.1951715,43.6125176
"12",10109,"SLHS IDAHO FAMILY PHYSICIANS","130 EAST BOISE AVENUE","BOISE","Idaho","83706","208",NA,"130 EAST BOISE AVENUE, BOISE, Idaho, 83706",-116.182265,43.585785
"13",10110,"SLHS ORTHO SURGERY CENTER","1425 WEST RIVER STREET","BOISE","Idaho","83702","208","342-1932","1425 WEST RIVER STREET, BOISE, Idaho, 83702",-116.216094,43.6163385
"14",10111,"SLHS PLAZA 1520","1520 WEST STATE STREET SUITE 100","BOISE","Idaho","83702","208","947-7700","1520 WEST STATE STREET SUITE 100, BOISE, Idaho, 83702",-116.2091363,43.6233778
"15",10112,"SLHS EAST FAMILY HEALTH","2083 HOSPITATLITY LANE","BOISE","Idaho","83716","208","333-8345","2083 HOSPITATLITY LANE, BOISE, Idaho, 83716",-116.157426,43.5405721
"16",10113,"SLHS ANDERSON PLAZA MEDICAL BUILDING","222 NORTH 2ND STREET","BOISE","Idaho","83702","208","381-3915","222 NORTH 2ND STREET, BOISE, Idaho, 83702",-116.1949348,43.6131093
"17",10114,"SLHS EAST BREAST CARE SERVICES","247 WEST WASHINTON STREET","BOISE","Idaho","83702","208","381-2059","247 WEST WASHINTON STREET, BOISE, Idaho, 83702",-116.1938402,43.6161301
"18",10115,"SLHS BOISE HEART","287 WEST JEFFERSON STREET","BOISE","Idaho","83702","208","343-7940","287 WEST JEFFERSON STREET, BOISE, Idaho, 83702",-116.195293,43.614568
