,location_type,location_code,departmentID,department_name,full_address,lon,lat,n
1,CENSVCS,CENSVCS1,2301,RECOVERY ROOM,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,1
2,CENSVCS,CENSVCS1,5203,LOGISTICS OPERATIONS,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,20
3,CENSVCS,CENSVCS1,5302,ENVIRONMENTAL SERVICES,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,60
4,CENSVCS,CENSVCS1,5321,SECURITY,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,27
5,CENSVCS,CENSVCS1,5333,BUILDING SERVICES,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,53
6,CENSVCS,CENSVCS1,5399,BUILDING SERVICES ADMIN,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,3
7,CENSVCS,CENSVCS1,6553,QUALITY & PATIENT SAFETY,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,8
8,CENSVCS,CENSVCS1,6601,ADMINISTRATION,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,1
9,CENSVCS,CENSVCS1,6751,CLINICAL SUPPORT,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,1
10,CENSVCS,CENSVCS1,6771,ACCREDITATION,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,6
11,CENSVCS,CENSVCS1,6915,EMPLOYEE HEALTH SOLUTIONS,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,3
12,CENSVCS,CENSVCS1,8502,SBO CUSTOMER SERVICE,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,2
13,CENSVCS,CENSVCS1,8704,PAYROLL,"140 E Jefferson, Boise, ID, 83712",-116.1923872,43.6136281,1
14,CLINIC,CLINIC002,1152,INPATIENT REHAB UNIT-ROBBINS,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
15,CLINIC,CLINIC002,1201,MEDICAL / SURGICAL,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
16,CLINIC,CLINIC002,1341,SL OB HOSPITALISTS,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,2
17,CLINIC,CLINIC002,1349,WOMEN'S SERVICES ADMIN,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,2
18,CLINIC,CLINIC002,1351,PEDIATRICS,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
19,CLINIC,CLINIC002,1381,PEDIATRIC HOSPITALIST,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
20,CLINIC,CLINIC002,1399,CHILDRENS SERVICES ADMIN,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,2
21,CLINIC,CLINIC002,2002,SURGICAL SERVICES - MSTI,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,5
22,CLINIC,CLINIC002,2009,HEME MALIGNANCIES,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,7
23,CLINIC,CLINIC002,2201,PRE-ADMISSION TESTING,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
24,CLINIC,CLINIC002,2301,RECOVERY ROOM,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
25,CLINIC,CLINIC002,2651,HOSPICE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
26,CLINIC,CLINIC002,3002,PEDIATRIC MENTAL HEALTH,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,2
27,CLINIC,CLINIC002,3004,PEDIATRIC NEURO PSYCHOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,4
28,CLINIC,CLINIC002,3005,SL DEVELOPMENTAL PEDIATRICS,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
29,CLINIC,CLINIC002,3051,RADIATION ONCOLOGY-BOISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,19
30,CLINIC,CLINIC002,3081,CLINICAL ONCOLOGY-BOISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,38
31,CLINIC,CLINIC002,3086,PEDIATRIC ONCOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,24
32,CLINIC,CLINIC002,3101,PHYSICS-BOISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,9
33,CLINIC,CLINIC002,3102,PHYSICS-MERIDIAN,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
34,CLINIC,CLINIC002,3121,CHEMO INFUSION-BOISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,25
35,CLINIC,CLINIC002,3199,MSTI PHYSICIAN PROF SERVICES,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
36,CLINIC,CLINIC002,3201,PEDIATRIC CARDIOLOGY - BOISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,11
37,CLINIC,CLINIC002,3203,SL ID CARD ASSOC-BOISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,3
38,CLINIC,CLINIC002,3207,SL CARDIOTHORACIC & VASC ASSOC,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
39,CLINIC,CLINIC002,3251,PEDIATRIC OTOLARYNGOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,9
40,CLINIC,CLINIC002,3304,SL SYRINGA FAMILY MEDICINE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
41,CLINIC,CLINIC002,3306,SL FAMILY HLTH-BOI HOSPITALITY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
42,CLINIC,CLINIC002,3317,SL ADA MEDICAL ASSOCIATES,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
43,CLINIC,CLINIC002,3351,SL TV PEDIATRICS-MERIDIAN,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,2
44,CLINIC,CLINIC002,3352,SL TV PEDIATRICS-BOISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,15
45,CLINIC,CLINIC002,3421,PEDIATRIC NEPHROLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,2
46,CLINIC,CLINIC002,3431,PEDIATRIC ENDOCRINOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,6
47,CLINIC,CLINIC002,3453,PEDIATRIC NEUROLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,8
48,CLINIC,CLINIC002,3502,PEDIATRIC PULMONOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,3
49,CLINIC,CLINIC002,3551,PEDIATRIC PHYSIATRY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
50,CLINIC,CLINIC002,3655,PEDIATRIC SURGERY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,8
51,CLINIC,CLINIC002,3674,PEDIATRIC NEUROSURGERY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,3
52,CLINIC,CLINIC002,3687,SL ORTHOPEDICS,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
53,CLINIC,CLINIC002,3752,MOUNTAIN STATES UROLOGY CTR,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
54,CLINIC,CLINIC002,3753,MOUNTAIN STATES UROLOGY-MERID,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
55,CLINIC,CLINIC002,3754,SL UROLOGIC ONCOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,5
56,CLINIC,CLINIC002,3801,GYN ONC CLINIC,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,7
57,CLINIC,CLINIC002,3803,SL OBSTETRICS & GYNECOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,37
58,CLINIC,CLINIC002,3804,SL WOMAN'S CLINIC-BOI,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,57
59,CLINIC,CLINIC002,3821,SL NURSE MIDWIVES,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
60,CLINIC,CLINIC002,3851,SL HUMPHREYS DIABETES-BOI,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
61,CLINIC,CLINIC002,3873,WOUNDCARE-LOUISE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
62,CLINIC,CLINIC002,3903,ID PEDIATRIC GASTROENTEROLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,15
63,CLINIC,CLINIC002,3905,PEDIATRIC INFECTIOUS DISEASE,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,5
64,CLINIC,CLINIC002,3907,SL CTR FOR PANCREATIC DISEASES,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,3
65,CLINIC,CLINIC002,3908,CYSTIC FIBROSIS CLINIC,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,3
66,CLINIC,CLINIC002,3909,HEMOPHILIA CENTER,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,3
67,CLINIC,CLINIC002,3911,PEDIATRIC OPTHALMOLOGY,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,1
68,CLINIC,CLINIC002,3951,PEDIATRIC GENETICS CLINIC,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,3
69,CLINIC,CLINIC002,3952,INTEGRATIVE MEDICINE-MSTI,"100 E Idaho, Boise, ID, 83712",-116.1935105,43.6120865,5
